#lc Ft_0(tau=beta/2,lc) Ft_0(tau=beta) Ft_1(tau=beta/2,lc) Ft_1(tau=beta)
0 -0.0350131 -0.0350131 -0.0350126 -0.0350126
1 -0.0350131 -0.0346912 -0.0350126 -0.0346953
2 0.0106469 -0.126011 0.0106449 -0.12601
3 0.0106469 -0.12373 0.0106449 -0.123735
4 -0.0260491 -0.221586 -0.0260468 -0.22158
5 -0.0260491 -0.216173 -0.0260468 -0.216173
6 0.000765544 -0.30198 0.000762282 -0.301962
7 0.000765544 -0.293464 0.000762282 -0.293451
8 -0.0175061 -0.360286 -0.0175051 -0.360257
9 -0.0175061 -0.349637 -0.0175051 -0.349616
10 -0.00581091 -0.39716 -0.00581301 -0.397127
11 -0.00581091 -0.385743 -0.00581301 -0.385726
12 -0.0128745 -0.417056 -0.0128744 -0.417029
13 -0.0128745 -0.40614 -0.0128744 -0.406131
14 -0.00882857 -0.425455 -0.00882881 -0.425444
15 -0.00882857 -0.41591 -0.00882881 -0.415918
16 -0.0110435 -0.427188 -0.0110433 -0.427195
17 -0.0110435 -0.419421 -0.0110433 -0.419454
18 -0.00987245 -0.425735 -0.00987124 -0.425773
19 -0.00987245 -0.419789 -0.00987124 -0.419845
20 -0.0104765 -0.423217 -0.0104807 -0.423304
21 -0.0104765 -0.418891 -0.0104807 -0.418988
22 -0.0101701 -0.420712 -0.0101644 -0.420869
23 -0.0101701 -0.4177 -0.0101644 -0.41786
24 -0.0103263 -0.41867 -0.0103291 -0.418882
25 -0.0103263 -0.416643 -0.0103291 -0.416867
26 -0.0102452 -0.417166 -0.0102444 -0.417413
27 -0.0102452 -0.415839 -0.0102444 -0.416112
28 -0.0102883 -0.416127 -0.0102876 -0.4164
29 -0.0102883 -0.415278 -0.0102876 -0.41558
30 -0.0102642 -0.415445 -0.0102667 -0.415724
31 -0.0102642 -0.414912 -0.0102667 -0.415213
32 -0.0102781 -0.415012 -0.0102767 -0.415284
33 -0.0102781 -0.414681 -0.0102767 -0.414975
34 -0.0102709 -0.414734 -0.0102721 -0.415009
35 -0.0102709 -0.41453 -0.0102721 -0.414828
36 -0.0102743 -0.414555 -0.0102758 -0.414856
