#lc Gt_0(tau=beta/2,lc) Gt_0(tau=beta) Gt_1(tau=beta/2,lc) Gt_1(tau=beta)
0 -0.0350124 -0.0350124 -0.0350143 -0.0350143
1 -0.0350124 -0.0350097 -0.0350143 -0.0350173
2 0.0106447 -0.126324 0.0106459 -0.126338
3 0.0106447 -0.126318 0.0106459 -0.126344
4 -0.0260477 -0.224164 -0.026049 -0.224197
5 -0.0260477 -0.224156 -0.026049 -0.224206
6 0.000763545 -0.309952 0.000763492 -0.310006
7 0.000763545 -0.309943 0.000763492 -0.310018
8 -0.0175055 -0.376756 -0.0175068 -0.376836
9 -0.0175055 -0.376747 -0.0175068 -0.376854
10 -0.0058124 -0.424262 -0.00581186 -0.424376
11 -0.0058124 -0.42425 -0.00581186 -0.424401
12 -0.0128746 -0.455556 -0.0128761 -0.455716
13 -0.0128746 -0.455544 -0.0128761 -0.455739
14 -0.00882871 -0.474858 -0.00882782 -0.475065
15 -0.00882871 -0.474844 -0.00882782 -0.47508
16 -0.0110436 -0.486123 -0.0110448 -0.48637
17 -0.0110436 -0.486105 -0.0110448 -0.486376
18 -0.00987381 -0.492412 -0.00987236 -0.492698
19 -0.00987381 -0.492394 -0.00987236 -0.492695
20 -0.0104764 -0.495814 -0.0104799 -0.496144
21 -0.0104764 -0.495796 -0.0104799 -0.496136
22 -0.0101706 -0.497614 -0.0101668 -0.497998
23 -0.0101706 -0.497596 -0.0101668 -0.497986
24 -0.0103266 -0.498564 -0.0103287 -0.498991
25 -0.0103266 -0.498543 -0.0103287 -0.498985
26 -0.0102459 -0.499063 -0.010245 -0.499526
27 -0.0102459 -0.499046 -0.010245 -0.499527
28 -0.0102877 -0.499325 -0.0102882 -0.499816
29 -0.0102877 -0.499311 -0.0102882 -0.49982
30 -0.0102657 -0.499463 -0.0102659 -0.499974
31 -0.0102657 -0.499448 -0.0102659 -0.499971
32 -0.0102777 -0.499533 -0.0102779 -0.500057
33 -0.0102777 -0.499522 -0.0102779 -0.500044
34 -0.0102712 -0.49957 -0.010272 -0.500087
35 -0.0102712 -0.49956 -0.010272 -0.50007
36 -0.0102748 -0.499587 -0.0102754 -0.500095
