#lc Ft_0(tau=beta/2,lc) Ft_0(tau=beta) Ft_1(tau=beta/2,lc) Ft_1(tau=beta)
0 -0.0474861 -0.0474861 -0.0474841 -0.0474841
1 -0.0474861 -0.0466208 -0.0474841 -0.0466212
2 0.00749458 -0.156582 0.00749248 -0.156574
3 0.00749458 -0.15129 0.00749248 -0.151285
4 -0.0319385 -0.256445 -0.0319364 -0.256429
5 -0.0319385 -0.245406 -0.0319364 -0.245397
6 -0.00595567 -0.328551 -0.00595472 -0.328538
7 -0.00595567 -0.313207 -0.00595472 -0.313197
8 -0.0221246 -0.372339 -0.0221256 -0.372336
9 -0.0221246 -0.355319 -0.0221256 -0.35532
10 -0.0125366 -0.39428 -0.0125307 -0.394309
11 -0.0125366 -0.378034 -0.0125307 -0.378058
12 -0.017987 -0.402195 -0.0179865 -0.402243
13 -0.017987 -0.388305 -0.0179865 -0.388343
14 -0.0149987 -0.40257 -0.0149936 -0.402631
15 -0.0149987 -0.391687 -0.0149936 -0.391719
16 -0.0165905 -0.399793 -0.0165862 -0.399828
17 -0.0165905 -0.391847 -0.0165862 -0.391836
18 -0.0157596 -0.396327 -0.0157586 -0.396299
19 -0.0157596 -0.390853 -0.0157586 -0.390773
20 -0.0161905 -0.393299 -0.016183 -0.393182
21 -0.0161905 -0.389718 -0.016183 -0.389563
22 -0.0159677 -0.391043 -0.0159673 -0.390845
23 -0.0159677 -0.388806 -0.0159673 -0.388593
24 -0.0160799 -0.389503 -0.0160761 -0.389268
25 -0.0160799 -0.388144 -0.0160761 -0.387919
26 -0.0160251 -0.388498 -0.0160221 -0.388267
27 -0.0160251 -0.387698 -0.0160221 -0.387477
28 -0.0160484 -0.387854 -0.0160492 -0.387658
29 -0.0160484 -0.387396 -0.0160492 -0.38721
30 -0.0160396 -0.387457 -0.0160326 -0.387325
31 -0.0160396 -0.387218 -0.0160326 -0.387058
32 -0.0160402 -0.387222 -0.0160434 -0.387135
33 -0.0160402 -0.387132 -0.0160434 -0.386968
34 -0.0160411 -0.387125 -0.0160365 -0.387019
35 -0.0160411 -0.3871 -0.0160365 -0.386918
36 -0.0160393 -0.387086 -0.0160409 -0.386951
