#lc Gt_0(tau=beta/2,lc) Gt_0(tau=beta) Gt_1(tau=beta/2,lc) Gt_1(tau=beta)
0 -0.0474856 -0.0474856 -0.0474866 -0.0474866
1 -0.0474856 -0.0474842 -0.0474866 -0.0474875
2 0.00749117 -0.157438 0.00749281 -0.157446
3 0.00749117 -0.157435 0.00749281 -0.157449
4 -0.0319378 -0.262579 -0.0319386 -0.262599
5 -0.0319378 -0.262577 -0.0319386 -0.262605
6 -0.00595742 -0.345714 -0.00595547 -0.345751
7 -0.00595742 -0.345713 -0.00595547 -0.345759
8 -0.0221255 -0.404842 -0.0221271 -0.404901
9 -0.0221255 -0.404838 -0.0221271 -0.40491
10 -0.012536 -0.443805 -0.0125331 -0.443895
11 -0.012536 -0.4438 -0.0125331 -0.443903
12 -0.0179889 -0.467972 -0.0179906 -0.468095
13 -0.0179889 -0.467965 -0.0179906 -0.468104
14 -0.0149985 -0.482241 -0.0149952 -0.482403
15 -0.0149985 -0.482236 -0.0149952 -0.482408
16 -0.0165902 -0.490342 -0.0165909 -0.490533
17 -0.0165902 -0.490342 -0.0165909 -0.490534
18 -0.0157618 -0.494808 -0.0157602 -0.495013
19 -0.0157618 -0.494817 -0.0157602 -0.49501
20 -0.0161877 -0.497234 -0.0161877 -0.497436
21 -0.0161877 -0.497249 -0.0161877 -0.497438
22 -0.0159703 -0.498541 -0.0159696 -0.498735
23 -0.0159703 -0.498558 -0.0159696 -0.498746
24 -0.0160804 -0.499241 -0.0160802 -0.499433
25 -0.0160804 -0.499244 -0.0160802 -0.499448
26 -0.016024 -0.499608 -0.0160251 -0.499804
27 -0.016024 -0.499606 -0.0160251 -0.49981
28 -0.0160515 -0.499789 -0.016053 -0.499997
29 -0.0160515 -0.499786 -0.016053 -0.500001
30 -0.0160389 -0.499873 -0.016038 -0.500105
31 -0.0160389 -0.499886 -0.016038 -0.500096
32 -0.0160419 -0.499908 -0.016046 -0.500154
33 -0.0160419 -0.499953 -0.016046 -0.500139
34 -0.0160413 -0.499958 -0.0160414 -0.500173
35 -0.0160413 -0.500001 -0.0160414 -0.500154
36 -0.0160403 -0.499994 -0.0160447 -0.500179
