#lc Ft_0(tau=beta/2,lc) Ft_0(tau=beta) Ft_1(tau=beta/2,lc) Ft_1(tau=beta)
0 -0.0418695 -0.0418695 -0.0418733 -0.0418733
1 -0.0418695 -0.0412606 -0.0418733 -0.0412675
2 0.0102835 -0.145567 0.0102834 -0.145581
3 0.0102835 -0.141498 0.0102834 -0.14152
4 -0.0293393 -0.247158 -0.0293421 -0.247188
5 -0.0293393 -0.238059 -0.0293421 -0.238103
6 -0.00218529 -0.324952 -0.00218654 -0.325
7 -0.00218529 -0.31153 -0.00218654 -0.311595
8 -0.0193955 -0.374471 -0.0193978 -0.374539
9 -0.0193955 -0.358845 -0.0193978 -0.358923
10 -0.00920301 -0.400262 -0.00920355 -0.400347
11 -0.00920301 -0.384747 -0.00920355 -0.38484
12 -0.0148971 -0.409988 -0.0148995 -0.41009
13 -0.0148971 -0.396301 -0.0148995 -0.396415
14 -0.0118635 -0.410782 -0.0118603 -0.410924
15 -0.0118635 -0.399786 -0.0118603 -0.399941
16 -0.0134276 -0.40775 -0.0134325 -0.407947
17 -0.0134276 -0.399565 -0.0134325 -0.399775
18 -0.0126346 -0.403841 -0.0126304 -0.4041
19 -0.0126346 -0.398119 -0.0126304 -0.39839
20 -0.0130345 -0.400389 -0.0130393 -0.40071
21 -0.0130345 -0.396605 -0.0130393 -0.396937
22 -0.0128324 -0.397807 -0.0128272 -0.398198
23 -0.0128324 -0.395425 -0.0128272 -0.395815
24 -0.0129345 -0.396058 -0.0129363 -0.396491
25 -0.0129345 -0.394636 -0.0129363 -0.395051
26 -0.0128839 -0.394962 -0.0128834 -0.395392
27 -0.0128839 -0.394152 -0.0128834 -0.394557
28 -0.0129074 -0.394309 -0.0129058 -0.394706
29 -0.0129074 -0.393874 -0.0129058 -0.394248
30 -0.0128958 -0.393954 -0.0128975 -0.394305
31 -0.0128958 -0.393736 -0.0128975 -0.394065
32 -0.0129031 -0.393788 -0.0129028 -0.394103
33 -0.0129031 -0.393692 -0.0129028 -0.393999
34 -0.0128966 -0.393739 -0.0129004 -0.394017
35 -0.0128966 -0.393694 -0.0129004 -0.393987
36 -0.0129003 -0.393722 -0.0129004 -0.393987
