#lc Gt_0(tau=beta/2,lc) Gt_0(tau=beta) Gt_1(tau=beta/2,lc) Gt_1(tau=beta)
0 -0.0418765 -0.0418765 -0.0418748 -0.0418748
1 -0.0418765 -0.0418721 -0.0418748 -0.0418725
2 0.0102858 -0.146197 0.0102836 -0.146189
3 0.0102858 -0.146188 0.0102836 -0.146185
4 -0.0293434 -0.251866 -0.029342 -0.251854
5 -0.0293434 -0.251857 -0.029342 -0.251849
6 -0.0021871 -0.338757 -0.0021863 -0.338748
7 -0.0021871 -0.338751 -0.0021863 -0.338744
8 -0.0193984 -0.401695 -0.0193983 -0.401691
9 -0.0193984 -0.401697 -0.0193983 -0.401686
10 -0.0092065 -0.443112 -0.00920431 -0.443109
11 -0.0092065 -0.44312 -0.00920431 -0.443102
12 -0.0148986 -0.468352 -0.0148989 -0.468346
13 -0.0148986 -0.468362 -0.0148989 -0.468336
14 -0.0118665 -0.482837 -0.0118622 -0.482833
15 -0.0118665 -0.482842 -0.0118622 -0.482821
16 -0.0134302 -0.490804 -0.0134302 -0.490806
17 -0.0134302 -0.490807 -0.0134302 -0.490793
18 -0.0126363 -0.495087 -0.0126325 -0.495094
19 -0.0126363 -0.495086 -0.0126325 -0.495087
20 -0.0130399 -0.497377 -0.0130369 -0.497382
21 -0.0130399 -0.497375 -0.0130369 -0.497381
22 -0.0128326 -0.498607 -0.0128307 -0.498608
23 -0.0128326 -0.498615 -0.0128307 -0.498606
24 -0.0129401 -0.499282 -0.0129359 -0.499259
25 -0.0129401 -0.499299 -0.0129359 -0.499261
26 -0.0128842 -0.49966 -0.0128843 -0.499594
27 -0.0128842 -0.499684 -0.0128843 -0.499605
28 -0.0129123 -0.499872 -0.0129075 -0.49976
29 -0.0129123 -0.499898 -0.0129075 -0.49978
30 -0.0128983 -0.499995 -0.0128988 -0.49984
31 -0.0128983 -0.50003 -0.0128988 -0.499866
32 -0.0129064 -0.500087 -0.0129024 -0.499892
33 -0.0129064 -0.500118 -0.0129024 -0.499923
34 -0.0129004 -0.500162 -0.0129015 -0.49993
35 -0.0129004 -0.50018 -0.0129015 -0.499955
36 -0.0129026 -0.500197 -0.0129007 -0.499949
